label,comment
0,ஹாண்ட்ஸம் ஹங்க் கேரி வா தலைவா
0,தென்காசி மாவட்டம் நாடார் சமுதாயம் சார்பாக வாழ்த்துக்கள்
0,சிறப்பு..... மேலும் இது போன்ற படைப்புகள் மிக அவசியம்....
0,வேற லெவல் பிஜிஎம் .. செம்ம ட்ரெய்லர். 🤞
1,என்னடா பண்ணி வச்சிருக்கீங்க ?!!!! அந்த அம்மாவ !!!!
0,250k லைக்ஸ் போகணும்.....யாரெல்லாம் வெயிட்டிங் 🥰
0,சூப்பர் அண்ணன் ட்ரெய்லர் செம்மையா இருக்கு ஐ ஆம் வெயிட்டிங் அண்ணா
0,மரணம் வி லவ் யூ சூர்யா அண்ணா
0,அப்சொல்யூட் ஹார்ட் வொர்க் லாட் ஆஃப் லவ் ஃபார் இளம்புயல் ஜெயம் ரவி
0,சன்னி லியோன் ஃபேன்ஸ் ஹிட் லைக்
0,தக்கா ஃபேன்ஸ் ஆஹ் இரு தா லைக் போடுங்க
0,இராமநாதபுரம் மாவட்டம் சார்பாக அனைத்து சமுதாய பெண்களின் பாதுகாப்பிற்காக படம் எடுத்த இயக்குனர் வாழ்த்துக்கள்.
0,லவ் சூப்பர் காமெடி கிராண்ட் பா லவ்
0,தெறிக்க வெலாடமா ஹெவி
0,ரஜினி அரசியல் வேற லெவல்
1,டேய் ஏன்டா உங்களுக்கு இந்த இல்லாத வேலை சூர்யா லைக் எ ஜோக்கர் டா
0,செம்ம ஃபன்னா இருக்க போகுது
0,ஐ ஆம் வெயிட்டிங் விஜய் ப்ரோ சூப்பர்
0,எங்க சியான் விக்ரம் எப்போ மாஸ் டா
0,போஸ்ட்மேன் வெப் சீரிஸ் இந்த படம் மாதிரி தான் இருக்கும்
0,500k நீட் டூ 15 எம் வியூஸ்
0,வாவ் செம்ம ட்ரெய்லர் படம் வெற்றி அடைய தளபதி ஃபேன்ஸ் சார்பாக விஷஸ் டூ சூர்யா சார்
0,ரஜினி ஸ்க்ரீன்ல செம்ம ஜோரா இருக்காரு சூப்பர்
1,டேய் போங்க டா தமிழ் நாட்டுல ரேப் கிரைம் இன்க்ரீஸ் ஆகிட்டே போகுது எவனாச்சும் கேக்குறீங்களா இப்போ வந்து வாழ்த்துக்கள் மண்ணாங்கட்டி னு உண்மையா பொண்ண மதிக்குறதா இருந்தா என்னோட கமெண்டுக்கு அம்மா தங்கச்சி வச்சு ரிப்ளை பண்ணாம பேசுங்க டா பார்க்கலாம்..
